id,text
1,tse ho tsan se kai bing pang ka ti bin khan tsai kgan lai u Put li e ing hiong
2,ing ahm gua tsiah kak li ea lo
3,ah beh sian po
4,si si giam po so
5,a sui kahm mo a pa tso li the i tshing ka
6,an nie lah
7,li kiam bo kong iau u si gih jit tsiu siu kua e si kau la gua ka lin kong gia ba khuan hng it king sik thang kua la
8,a san a pah me kue ah
9,kiam pian tsiah ka khon khan ki
10,san si siu o ho ki khi khun
11,ti hiah khuan e lang iai si sam samg gon no tshin tshin tsng tsn
12,khonh la lai lai thain sio tsia tai sio tsiah
13,i tsing li tai gi su lui tsong si tse sit tua kang tihng ma su iau siong se ui ue
14,bi tsit e ho me me
15,tui putin lai kong tse tai tiau i kiong ne tui khang bi kok ka au tsiu tit tioh sing li
16,king loh lai e si sim lai kam u buan tsiok e kam kah sing khu na kian liau siun ki
17,hong mun a
18,o to bai si tsia ping siong e kau thong kang khutsuan tai uan tshue bo lang beh hiau khia oao tok bai e
19,kah hit tsa ti tsit tsun ji tsi ke lua hing hok li
20,ing gua pun sit giam tshai iong kan ua e su lui kan ta un tua lui tng su mia su hing iong su ting ting
21,lau ian li ah pun loh to puan loh khi ah lin thang ta si sinanh
22,m na si lan an tai tai gi lang oh thah lian the lai kai e pian tsia ma hue hue tsit tsiong iong ji huat siun kue i ua sit tsai put kho tshu
23,hanie gin a lang u hin bo tshui m mho o pi mng
24,in na si tong suan ma e pi iau kiu si hein sing lok ti king tshat kai kik lai kong tse i king si tsit e sing li
25,lan khun san tsiong tsing hing lai tho lun
26,gikt khi
27,hi sing kian sut khit tain ki ting na
28,u i guan a si kho ling ti li khong it iong mi tsham san tsong thong e kiong ho tong jin su
29,li kanm u ing thang ka gua tau siau kai tsit e lai khi siong su si i a si to tsit siang
30,gua ho li long lue la
31,tiahn tia o loh khi tshan te
32,gu lang tit leh bo u lang te le bo ah
33,tak ke tsia tue gua lai san lau tshut kiang ta thian pan li ting kin tshiu sio than thi hing li thok un
34,tak ke long kau ah lan lai khi thing tshia tiun tsiun tshia
35,li tso ho e i ti sing kia tsit hun ho gua Pin thang tsit e ho bo
36,ko o a tsit le tua mng honh koh ka tin kthahk kuan leh
37,li tioh ka png tsiah ho lia
