id,text
1,tse ho tsan se kai bing pang ka tit li khuan tsai gan lai u Put li e ing hiong
2,ing am gua tsiah kah li ian lo
3,ah beh sian poh
4,si si giam po so
5,a sui kam mo a pa thok li the i tshing ka
6,an ne lah
7,lin kiam bo kong iau u si gi jit tsiu siu kgua e si koau ma gua ka lin kong gia bak khuan hng i king sik thang kua la
8,a san pah meh kue ah
9,kiam pian tsiahp ka khung khan ki
10,san sit siu o ho ki gi khu
11,ti hia khuan e lang ia si sam samg gon go tshin tshin tsng tsn
12,hunh lai lai lai than sio tsiah tha sio tsiah
13,i tsiong li tai gi su lui tsong si tsi si tua kang tingma su iau siong se uiu ue
14,bli tsit e ho me me
15,tui putin lai kong tse tai piau i kiong nge tui khong bi kok ka au tsiu tit tioh sing li
16,ting loh lai si sim lai kam u buan tsiok e kam kak sing khu na kian liau siun ki
17,hong mbun a
18,o to bai si tsian ping siong e kau thong kang khu tsuan tai uahn tshue bo lang be iau khiau o to bai 
19,kah hit tsam ti tsit tsun ji tsi ke la hing ho le
20,ling kgua pun sit giam tshai iong kan hua e su lui kan ta un tua lui tong u mian su hing iong su ting tin
21,lau hian ti a pua o to pua lo khi ah lin thang tua se sianh
22,m na si lan han tai tai gi lang oh tha lihan the lai kai e pihan tsia mah hue hue tsi tsiong iong ji huat siun kue i uap sit tsai put kho tshu
23,han i gin a ang u hin bo tshui m ho o pi mng 
24,in a si tong soanhn ma e pi iau kiu si hian sing lok tui king tsha kai ki lai kong tse i king si tsit e sing li
25,lan hue n san tsiong tsing hing lai thao lun 
26,gi khi
27,he sing kian tshut khit tan ke ting a
28,u i gua n a si kho ling ti li khong it liong ni tsham suan tsong thong e kiong ho tong jin su
29,li kanm u ing thang ka gua tau siau kai tsit e lai khi siong su sie e si to tsit siang 
30,gua ho li long lue lah
31,tia tian o lo khi tshan te
32,bu lang te leh bo u lang tie leh bo ah
33,sak ke tsia te a lai san lau tshut king tua thian ban li ting ki tshiu sio than the hing li thok un 
34,tak ke long kau ah lan lai khi thing shia tiun tsiun tshia
35,li tso ho e p Bti sing kia tsit hun ho gua Phin phang tsit e ho bo
36,uo o a tsit iea tua mng honh koh ka pin kha kuan leh
37,tei tioh ka png tsiah ho liau
38,sing lang thian han tsing li an ne kong long kuan ki tan thau khuan suan tiun tsit e kuan tak ke sim lai long am hon tsit sian gua khon ah suan e tsian tshiu ping u ian kiam tsit puan khi ah
39,kau a ag g ki
40,in ui bo tshu li ham ho sikng e bun te so i e ing iong tioh si giam kiat ko e phin tsi
41,tsit e ki hi lang e th tseS si iong sHS a sit tha kho thuong thou tso
42,ai siong sin ka ti it ting pha e tioh lamng ping iu
43,u tki hue e ti lak ue te i tsing ta sing hiap i
44,gua kong bua e to bu a e la
45,suan si tai pak hia ni hok tsap li tshu tshu kio ai khah se li leh
46,a ne tso kam o kheh
47,tsan sing tsia o lo i kian bu sit lo suan m koh kiong ho tong ti kok hue ka te tse
48,si tsap si phin sin hoh lam ji bo be tau sen anan tsi i ma ma e kam tong
49,kak hue a lio u ian tsiok sui e lioh bu long tsiuo hinm sian tkiok kai i lhi lio un tong san khui tsui ka o loh
50,gua tsit ma kiam ti e a tsiun pehe tshu ui ng tsiah lai tsen lah
51,tso i pua be kah l ke ka
52,kian bi kok iraung kian ua sa upi kho ka ti bi ko tsue kin ka i lan kai sen kua hi it king in hi
53,ka gua tse ong tse tsiah khui
54,tsuan ting long tauh bu pe bong bong sian mih long khuan bo
55,o tsiu kok hue ba ti ji khong it ji ni piau kuat tong sing khun ha hua hua egi te tsan jing phai su ka thon kho
56,guae sim 
57,tshin tshiun tin kue pak po png ting mih tsue tsiah mih long a iong tsu bi lai tso
58,he hieh
59,he pean tong tshia honh tsau be tin tang i kai si bo tian a ai kah bat te li thi tshut lai tshiong pean tsit e
60,i tui ang a bo o e si tsing phaie pu lu su thiau ka tsian ho khuan
